Product Name,Actual Price,offer Price,No.of Ratings,reviews,Averager Rating,Brand,offer %
Lenovo IdeaPad Slim 5 Intel Core i5 13th Gen 13420H,"₹97,290","₹72,990",n/a,n/a,n/a,Lenovo,24% off
Acer Swift Go 14 Snapdragon X Plus,"₹1,08,799","₹59,990",217,40,4.4,Acer,44% off
Infinix Y3 Max Series Intel Core i5 12th Gen 1235U,"₹69,990","₹29,990",344,66,4.3,Infinix,57% off
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U,"₹66,990","₹44,990","7,361",412,4.2,ASUS,32% off
Lenovo Chromebook MediaTek Kompanio 520,"₹30,790","₹14,990","1,769",164,3.8,Lenovo,51% off
Lenovo IdeaPad Slim 5 Co-Pilot PC Snapdragon X Plus,"₹1,25,890","₹54,990",163,23,4.2,Lenovo,56% off
Acer Aspire 3 Intel Celeron Dual Core,"₹32,990","₹15,980",977,113,3.8,Acer,51% off
Lenovo Chromebook MediaTek Kompanio 520,"₹28,690","₹13,990","1,769",164,3.8,Lenovo,51% off
SAMSUNG Galaxy Book4 Metal Intel Core i3 13th Gen 1315U,"₹57,499","₹40,990","3,509",402,4.5,SAMSUNG,28% off
HP Laptop Intel Core i3 N305,"₹39,995","₹30,490",184,10,4.3,HP,23% off
ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U,"₹44,990","₹30,990","2,959",283,4.2,ASUS,31% off
"ASUS Vivobook 16 (2025), Copilot + PC with Office 2024 + M365 Basic*, AI PC Qualcomm Snapdragon X","₹84,990","₹62,990",41,4,4,ASUS,25% off
Acer Aspire 3 Intel Celeron Dual Core,"₹35,999","₹19,990",977,113,3.8,Acer,44% off
Lenovo IdeaPad 1 AMD Ryzen 7 Octa Core 5700U,"₹74,990","₹43,090",400,29,4.2,Lenovo,42% off
Acer Aspire Lite AMD Ryzen 3 Quad Core 5300U,"₹52,990","₹31,490",43,7,4.2,Acer,40% off
Lenovo 100e Chromebook Gen 4 MediaTek Kompanio 520,"₹16,298","₹9,999",13,0,3.6,Lenovo,38% off
"ASUS Vivobook S 15 OLED Powered Copilot + , AI PC Snapdragon X Elite","₹1,46,990","₹84,990",28,2,4.2,ASUS,42% off
HP 15 (2024) AMD Ryzen 3 Quad Core 7320U,"₹45,995","₹29,690","2,161",185,4.2,HP,35% off
Acer Aspire 3 Intel Core i5 13th Gen 1334U,"₹66,999","₹42,990",154,15,4.3,Acer,35% off
DELL Intel Celeron Quad Core,"₹48,990","₹21,390",n/a,n/a,n/a,DELL,56% off
SAMSUNG Galaxy Book5 360 AI PC Full Metal Chasis Intel Core Ultra 5 226V,"₹1,37,988","₹1,14,990",12,2,4.9,SAMSUNG,16% off
ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U,"₹50,990","₹29,990","2,959",283,4.2,ASUS,41% off
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U,"₹69,990","₹40,990","7,361",412,4.2,ASUS,41% off
ASUS Expertbook P1 Intel Core i7 13th Gen 13620H,"₹1,29,990","₹68,990",42,9,4.5,ASUS,46% off
ASUS Expertbook P1 Intel Core i3 13th Gen 1315U,"₹69,990","₹36,990",144,25,4,ASUS,47% off
HP G9 Intel Core i3 13th Gen 1315U Turbo Boost with Finger Print,"₹49,990","₹33,400",111,14,3.9,HP,33% off
Lenovo 100e Chromebook Gen 4 MediaTek Kompanio 520,"₹16,298","₹9,999",13,0,3.6,Lenovo,38% off
Lenovo IdeaPad Slim 5 Intel Core i5 13th Gen 13420H,"₹97,290","₹72,990",n/a,n/a,n/a,Lenovo,24% off
Acer Aspire 3 Intel Celeron Dual Core N4500,"₹32,999","₹22,990","2,252",181,3.9,Acer,30% off
MSI Thin 15 Intel Core i5 12th Gen 12450H,"₹70,990","₹51,990","1,299",103,4.3,MSI,26% off
Acer Swift Go 14 Snapdragon X Plus,"₹1,08,799","₹59,990",217,40,4.4,Acer,44% off
Lenovo IdeaPad Slim 5 Co-Pilot PC Snapdragon X Plus,"₹1,25,890","₹54,990",163,23,4.2,Lenovo,56% off
HP AMD Ryzen 5 Quad Core 7520U,"₹53,413","₹36,990",30,3,4,HP,30% off
ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U,"₹50,990","₹29,990","2,959",283,4.2,ASUS,41% off
Acer Aspire 3 Intel Celeron Dual Core N4500,"₹29,990","₹23,990","2,252",181,3.9,Acer,20% off
Acer Aspire 3 Backlit AMD Ryzen 5 Hexa Core 7430U,"₹59,990","₹36,990","1,577",206,4.1,Acer,38% off
ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U,"₹44,990","₹30,990","2,959",283,4.2,ASUS,31% off
"ASUS Vivobook 16 (2025), Copilot + PC with Office 2024 + M365 Basic*, AI PC Qualcomm Snapdragon X","₹84,990","₹62,990",41,4,4,ASUS,25% off
Lenovo Yoga Slim 7 Intel Core Ultra 7 155H,"₹1,53,190","₹87,990",38,0,4.3,Lenovo,42% off
Lenovo Yoga Slim 7 Intel Core Ultra 5 125H,"₹1,25,890","₹78,990",43,5,4.3,Lenovo,37% off
"ASUS Vivobook S 15 OLED Powered Copilot + , AI PC Snapdragon X Elite","₹1,46,990","₹84,990",28,2,4.2,ASUS,42% off
HP 15 (2024) AMD Ryzen 3 Quad Core 7320U,"₹45,995","₹29,690","2,161",185,4.2,HP,35% off
Acer Aspire 3 Intel Core i3 13th Gen 1305U,"₹49,999","₹29,990","1,569",132,4.2,Acer,40% off
ASUS Vivobook 15 Intel Core i3 12th Gen 1215U,"₹54,990","₹32,990","7,104",570,4.3,ASUS,40% off
Lenovo V15 AMD Ryzen 5 Quad Core 7520U,"₹60,000","₹34,990","1,397",131,4.2,Lenovo,41% off
HP 255 G10 (2024) AMD Ryzen 3 Quad Core 7320U,"₹31,990","₹26,099",369,33,4.1,HP,18% off
SAMSUNG Galaxy Book5 360 AI PC Full Metal Chasis Intel Core Ultra 5 226V,"₹1,37,988","₹1,14,990",12,2,4.9,SAMSUNG,16% off
ASUS TUF Gaming A15 AMD Ryzen 5 Hexa Core 7535HS,"₹70,990","₹52,990",6,1,3.8,ASUS,25% off
HP 15 G9 (2025) AMD Ryzen 5 Hexa Core 5625U,"₹74,990","₹36,990",81,7,4.1,HP,50% off
ASUS Vivobook Go 15 AMD Ryzen 5 Quad Core 7520U,"₹50,990","₹35,990","1,452",91,4.2,ASUS,29% off
Lenovo IdeaPad Slim 5 Intel Core i5 13th Gen 13420H,"₹97,290","₹72,990",n/a,n/a,n/a,Lenovo,24% off
