product_name,actual_price,offer_price,no.of_ratings,reviews,averager_rating,brand,offer_%
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U,66990,45990,7265,408,4.2,ASUS,31
Acer Aspire 3 Intel Celeron Dual Core,32999,15990,923,109,3.8,Acer,51
Lenovo Chromebook MediaTek Kompanio 520,28690,13990,1748,160,3.8,Lenovo,51
SAMSUNG Galaxy Book4 Metal Intel Core i3 13th Gen 1315U,57499,40990,3472,399,4.5,SAMSUNG,28
Infinix Y3 Max Series Intel Core i5 12th Gen 1235U,69990,29990,340,65,4.3,Infinix,57
DELL Latitude 3440 (2024) Intel Core i3 12th Gen 1215U,69999,29890,72,4,4.1,DELL,57
Lenovo 100e Chromebook Gen 4 MediaTek Kompanio 520,16298,9999,12,0,4.0,Lenovo,38
Lenovo V15 AMD Ryzen 3 Quad Core 7th Gen 7320U,39990,27490,90,11,4.0,Lenovo,31
Acer Aspire 3 Intel Celeron Dual Core,33999,17990,923,109,3.8,Acer,47
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i5 12th Gen 1235U",66990,50990,7265,408,4.2,ASUS,23
ASUS Expertbook P1 Intel Core i3 13th Gen 1315U,69990,36990,137,24,3.9,ASUS,47
Acer Aspire Lite AMD Ryzen 3 Quad Core 5300U,52990,28990,43,7,4.2,Acer,45
ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U,50990,33990,2938,283,4.2,ASUS,33
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U,69990,40990,7265,408,4.2,ASUS,41
Acer Aspire 3 Intel Celeron Dual Core,35999,19990,923,109,3.8,Acer,44
MSI Thin 15 Intel Core i5 12th Gen 12450H,70990,51990,1291,103,4.3,MSI,26
Acer Aspire 3 Backlit AMD Ryzen 5 Hexa Core 7430U,59990,38990,1570,204,4.1,Acer,35
Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H,70090,48990,2155,106,4.2,Lenovo,30
Acer Aspire 3 Intel Celeron Dual Core N4500,32999,22990,2242,181,3.9,Acer,30
Acer Predator Helios Neo 16 Intel Core i7 14th Gen 14700HX,142999,104990,182,27,4.4,Acer,26
MOTOROLA Motobook 60 Full Metal Intel Core 5 (Series 2) 210H,93690,66990,31,7,4.5,MOTOROLA,28
HP Laptop Intel Core i3 13th Gen 1315U,50903,38990,55,8,4.2,HP,23
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i3 12th Gen 1215U",54990,35990,6315,473,4.3,ASUS,34
Lenovo Yoga Slim 7 Intel Core Ultra 5 125H,125890,78990,42,5,4.3,Lenovo,37
ASUS Vivobook 15 Intel Core i3 12th Gen 1215U,54990,37990,6315,473,4.3,ASUS,30
"ASUS Vivobook 16 (2025), Copilot + PC with Office 2024 + M365 Basic*, AI PC Qualcomm Snapdragon X",84990,65990,41,4,4.0,ASUS,22
Lenovo 100e Chromebook Gen 4 MediaTek Kompanio 520,16298,9999,12,0,4.0,Lenovo,38
CHUWI Intel Celeron Quad Core 12th Gen N100,34990,17990,505,90,4.1,CHUWI,48
HP Omen AMD Ryzen 7 Octa Core 7840HS,123652,95990,301,36,4.4,HP,22
Acer Aspire 3 Intel Celeron Dual Core N4500,29990,23990,2242,181,3.9,Acer,20
HP Victus Intel Core i5 13th Gen 13420H,95746,75990,28,1,3.9,HP,20
CHUWI Intel Core i3 12th Gen 1220P,44490,24990,35,6,3.7,CHUWI,43
ASUS Vivobook Go 15 OLED AMD Ryzen 3 Quad Core 7320U,61990,41990,3716,406,4.4,ASUS,32
Acer Aspire 3 Backlit AMD Ryzen 7 Octa Core 7730U,74990,46990,573,48,4.0,Acer,37
ASUS Vivobook 15 Intel Core i7 13th Gen 13620H,85990,66990,27,3,4.1,ASUS,22
Lenovo Chromebook MediaTek Kompanio 520,30790,14990,1748,160,3.8,Lenovo,51
Lenovo LOQ Intel Core i5 13th Gen 13450HX,104490,77990,1569,132,4.3,Lenovo,25
ASUS TUF Gaming A15 AMD Ryzen 7 Octa Core 7435HS,75990,58900,999,79,4.3,ASUS,22
Lenovo V14 Intel Core i7 12th Gen 1255U,68999,44999,1439,125,4.1,Lenovo,34
DELL 15 AMD Ryzen 5 Hexa Core 7530U,55135,41990,21,2,4.4,DELL,23
Lenovo Yoga Slim 7 WUXGA OLED AI PC Intel Core Ultra 7 155H,146890,98990,20,2,4.3,Lenovo,32
Acer Aspire 3 Intel Core i5 13th Gen 1334U,64999,45990,149,15,4.3,Acer,29
ASUS Vivobook Go 15 AMD Ryzen 5 Quad Core 7520U,50990,37990,1444,89,4.2,ASUS,25
HP 15s Backlit Keyboard AMD Ryzen 3 Quad Core 7320U,46577,28990,522,54,4.3,HP,37
ASUS Vivobook 15 Intel Core i3 13th Gen 1315U,56990,41990,118,13,4.3,ASUS,26
Lenovo Yoga Slim 7 Intel Core Ultra 7 155H,153190,87990,38,0,4.3,Lenovo,42
Lenovo Lenovo V15 G3 IAP Intel Core i5 12th Gen 1235U,92014,39141,143,14,4.0,Lenovo,57
SAMSUNG Galaxy Book4 Metal Intel Core i5 13th Gen 1335U,82789,58490,6925,597,4.5,SAMSUNG,29
DELL MSO'2024 Intel Core i3 13th Gen 1305U,48900,36490,140,9,4.2,DELL,25
Lenovo IdeaPad Slim 5 Co-Pilot PC Snapdragon X Plus,125890,54990,160,24,4.2,Lenovo,56
Lenovo 100e Chromebook Gen 4 MediaTek Kompanio 520,16298,9999,12,0,4.0,Lenovo,38
CHUWI Intel Celeron Quad Core 12th Gen N100,34990,17990,505,90,4.1,CHUWI,48
ASUS Chromebook Intel Celeron Dual Core N4500,32990,13990,2825,250,3.8,ASUS,57
